feature,importance
fp_533,5.8477395738979844e-05
fp_843,5.823831211126951e-05
fp_894,5.7132764920105515e-05
fp_1002,5.630206914257011e-05
fp_785,5.509323731189841e-05
fp_928,5.476800980933986e-05
fp_1023,5.351154656829671e-05
fp_1012,5.331397939486079e-05
fp_314,5.308052804956868e-05
fp_808,5.220462680011195e-05
fp_682,5.168594277475217e-05
fp_740,5.022547473809702e-05
fp_367,4.938192878597055e-05
fp_279,4.910604741496331e-05
fp_718,4.8991738306858323e-05
fp_982,4.8438667396011326e-05
fp_744,4.8106463727548565e-05
fp_923,4.7538552110445074e-05
fp_176,4.637489386712564e-05
fp_133,4.563779131653659e-05
fp_801,4.550684059005198e-05
fp_705,4.490413513765409e-05
fp_42,4.293057796385854e-05
fp_815,4.0880317651444585e-05
fp_678,4.024262698487657e-05
fp_641,3.957781899854851e-05
fp_325,3.943204018016141e-05
fp_585,3.9181009377424005e-05
fp_122,3.884297469976724e-05
fp_316,3.7853391916272315e-05
fp_55,3.617757432731553e-05
fp_1011,3.572290038222903e-05
fp_643,3.5376584723486225e-05
fp_238,3.497933445565741e-05
fp_261,3.452702655585652e-05
fp_1008,3.4311273582961675e-05
fp_426,3.4112387827282355e-05
fp_390,3.192281502909881e-05
fp_788,3.174998401933582e-05
fp_535,3.160965093281417e-05
fp_406,3.154981794410242e-05
fp_515,3.127039373233368e-05
fp_552,3.104040302133922e-05
fp_2,3.018500523314464e-05
fp_15,3.013462181500337e-05
fp_711,2.9388657039423432e-05
fp_234,2.910766889337631e-05
fp_393,2.9054254811885134e-05
fp_548,2.8606658461938217e-05
fp_638,2.814260852142721e-05
fp_855,2.7871546029234473e-05
fp_822,2.766146545159683e-05
fp_555,2.7483496298182548e-05
fp_230,2.73538181423764e-05
fp_792,2.7044212981460387e-05
fp_519,2.649169639612481e-05
fp_570,2.6237473985520527e-05
fp_165,2.58797988669975e-05
fp_11,2.5834777634107613e-05
fp_446,2.4789281110493278e-05
fp_348,2.398507589188951e-05
fp_712,2.348826334008791e-05
fp_370,2.2862366080326584e-05
fp_301,2.2194360593881985e-05
fp_762,2.2015383621380263e-05
fp_403,2.1682874926691003e-05
fp_104,2.1190519864192996e-05
fp_293,2.0395855342858482e-05
fp_3,1.978333441325179e-05
fp_430,1.9476492617835166e-05
fp_870,1.936945445450237e-05
fp_526,1.917265993060339e-05
fp_399,1.830145072767575e-05
fp_572,1.8140788857608687e-05
fp_193,1.81405424706238e-05
fp_149,1.759065069661947e-05
fp_376,1.7182136828626977e-05
fp_935,1.7166028064341532e-05
fp_647,1.6785687021014795e-05
fp_277,1.677520342076762e-05
fp_73,1.6487269697348e-05
fp_547,1.6314753202813687e-05
fp_537,1.6144559973119144e-05
fp_606,1.5936094040343757e-05
fp_153,1.576961240009241e-05
fp_131,1.5272764711878512e-05
fp_228,1.501510470743502e-05
fp_630,1.5014862136915793e-05
fp_285,1.4438452944872301e-05
fp_947,1.4029695551605789e-05
fp_375,1.3321020497262618e-05
fp_512,1.3060565889085515e-05
fp_677,1.2993516515513726e-05
fp_431,1.2824849405087177e-05
fp_541,1.2659409916497092e-05
fp_160,1.1476420346194042e-05
fp_499,1.1128791254570261e-05
fp_529,1.1002496527301453e-05
fp_575,1.0870404456649515e-05
fp_70,1.0860724818114361e-05
fp_925,1.0136787808405026e-05
fp_751,9.314643040917817e-06
fp_783,9.122521886932114e-06
fp_12,8.299961147040236e-06
fp_593,7.83565687993241e-06
fp_766,7.740399369238204e-06
fp_429,7.628348116850425e-06
fp_6,7.4938357519371834e-06
fp_834,6.902035545541807e-06
fp_108,6.387790572900028e-06
fp_62,6.3063682642268875e-06
fp_436,6.274984130897702e-06
fp_181,6.111544263776025e-06
fp_81,5.956756556161717e-06
fp_802,5.119864458650684e-06
fp_814,5.0458987196355665e-06
fp_724,4.8739672484273315e-06
fp_607,4.686379401985796e-06
fp_10,4.360020065097281e-06
fp_449,4.320332491980494e-06
fp_924,4.231739557769565e-06
fp_246,4.230869324291693e-06
fp_327,4.210959848334935e-06
fp_198,3.7975752206209634e-06
fp_267,3.5341554126914567e-06
fp_974,3.479615147683468e-06
fp_146,3.3345016760370307e-06
fp_975,3.2408249380407503e-06
fp_323,3.1245741289135745e-06
fp_313,1.7692288328818861e-06
fp_511,1.7139659183040834e-06
fp_476,1.3589156471945547e-06
fp_116,1.3519895850263215e-06
fp_618,1.3095293871871287e-06
fp_167,1.2073868032036472e-06
fp_863,1.1550175503434919e-06
fp_747,9.852717713920711e-07
fp_600,8.026394165971951e-07
fp_649,7.932874908078702e-07
fp_297,7.881293292063182e-07
fp_625,7.803393917334608e-07
fp_899,7.58291838135842e-07
fp_302,6.440684010566855e-07
fp_289,6.392948373272015e-07
fp_506,3.9395830335002085e-07
fp_216,2.873850668549949e-07
fp_955,2.8729000434157825e-07
fp_150,9.1459866125021e-08
fp_60,5.2575188277022754e-08
fp_675,0.0
fp_676,0.0
fp_959,0.0
fp_942,0.0
fp_683,0.0
fp_943,0.0
fp_944,0.0
fp_672,0.0
fp_120,0.0
fp_938,0.0
fp_681,0.0
fp_945,0.0
fp_594,0.0
fp_669,0.0
fp_31,0.0
fp_936,0.0
fp_30,0.0
fp_109,0.0
fp_921,0.0
fp_709,0.0
fp_708,0.0
fp_577,0.0
fp_706,0.0
fp_110,0.0
fp_704,0.0
fp_703,0.0
fp_701,0.0
fp_699,0.0
fp_579,0.0
fp_581,0.0
fp_696,0.0
fp_27,0.0
fp_927,0.0
fp_692,0.0
fp_589,0.0
fp_34,0.0
fp_930,0.0
fp_688,0.0
fp_666,0.0
fp_934,0.0
fp_956,0.0
fp_660,0.0
fp_665,0.0
fp_629,0.0
fp_611,0.0
fp_639,0.0
fp_950,0.0
fp_637,0.0
fp_635,0.0
fp_633,0.0
fp_129,0.0
fp_613,0.0
fp_130,0.0
fp_628,0.0
fp_640,0.0
fp_627,0.0
fp_132,0.0
fp_138,0.0
fp_134,0.0
fp_137,0.0
fp_622,0.0
fp_617,0.0
fp_621,0.0
fp_620,0.0
fp_139,0.0
fp_141,0.0
fp_305,0.0
fp_653,0.0
fp_663,0.0
fp_946,0.0
fp_661,0.0
fp_619,0.0
fp_28,0.0
fp_121,0.0
fp_657,0.0
fp_123,0.0
fp_654,0.0
fp_648,0.0
fp_127,0.0
fp_124,0.0
fp_646,0.0
fp_602,0.0
fp_604,0.0
fp_605,0.0
fp_949,0.0
fp_644,0.0
fp_126,0.0
fp_642,0.0
fp_303,0.0
fp_733,0.0
fp_714,0.0
fp_67,0.0
fp_839,0.0
fp_838,0.0
fp_837,0.0
fp_900,0.0
fp_40,0.0
fp_63,0.0
fp_903,0.0
fp_828,0.0
fp_826,0.0
fp_65,0.0
fp_824,0.0
fp_66,0.0
fp_821,0.0
fp_716,0.0
fp_68,0.0
fp_819,0.0
fp_818,0.0
fp_817,0.0
fp_905,0.0
fp_813,0.0
fp_811,0.0
fp_810,0.0
fp_809,0.0
fp_71,0.0
fp_906,0.0
fp_75,0.0
fp_840,0.0
fp_842,0.0
fp_61,0.0
fp_845,0.0
fp_885,0.0
fp_884,0.0
fp_889,0.0
fp_882,0.0
fp_878,0.0
fp_876,0.0
fp_890,0.0
fp_49,0.0
fp_873,0.0
fp_50,0.0
fp_871,0.0
fp_51,0.0
fp_868,0.0
fp_867,0.0
fp_865,0.0
fp_864,0.0
fp_861,0.0
fp_860,0.0
fp_44,0.0
fp_43,0.0
fp_895,0.0
fp_898,0.0
fp_851,0.0
fp_850,0.0
fp_847,0.0
fp_77,0.0
fp_800,0.0
fp_907,0.0
fp_752,0.0
fp_915,0.0
fp_91,0.0
fp_92,0.0
fp_916,0.0
fp_38,0.0
fp_743,0.0
fp_918,0.0
fp_741,0.0
fp_95,0.0
fp_919,0.0
fp_738,0.0
fp_737,0.0
fp_96,0.0
fp_735,0.0
fp_97,0.0
fp_569,0.0
fp_732,0.0
fp_98,0.0
fp_728,0.0
fp_727,0.0
fp_99,0.0
fp_100,0.0
fp_920,0.0
fp_106,0.0
fp_717,0.0
fp_750,0.0
fp_754,0.0
fp_797,0.0
fp_756,0.0
fp_909,0.0
fp_795,0.0
fp_793,0.0
fp_79,0.0
fp_791,0.0
fp_910,0.0
fp_789,0.0
fp_787,0.0
fp_82,0.0
fp_911,0.0
fp_83,0.0
fp_780,0.0
fp_779,0.0
fp_773,0.0
fp_772,0.0
fp_85,0.0
fp_912,0.0
fp_769,0.0
fp_768,0.0
fp_767,0.0
fp_86,0.0
fp_764,0.0
fp_88,0.0
fp_759,0.0
fp_758,0.0
fp_571,0.0
fp_45,0.0
fp_447,0.0
fp_236,0.0
fp_433,0.0
fp_224,0.0
fp_20,0.0
fp_229,0.0
fp_427,0.0
fp_19,0.0
fp_425,0.0
fp_424,0.0
fp_18,0.0
fp_1001,0.0
fp_419,0.0
fp_415,0.0
fp_1004,0.0
fp_414,0.0
fp_315,0.0
fp_413,0.0
fp_239,0.0
fp_411,0.0
fp_410,0.0
fp_241,0.0
fp_298,0.0
fp_317,0.0
fp_318,0.0
fp_16,0.0
fp_434,0.0
fp_223,0.0
fp_437,0.0
fp_995,0.0
fp_475,0.0
fp_474,0.0
fp_209,0.0
fp_472,0.0
fp_470,0.0
fp_21,0.0
fp_984,0.0
fp_467,0.0
fp_311,0.0
fp_464,0.0
fp_462,0.0
fp_986,0.0
fp_460,0.0
fp_459,0.0
fp_213,0.0
fp_215,0.0
fp_218,0.0
fp_448,0.0
fp_445,0.0
fp_991,0.0
fp_442,0.0
fp_992,0.0
fp_993,0.0
fp_1003,0.0
fp_405,0.0
fp_480,0.0
fp_344,0.0
fp_1010,0.0
fp_278,0.0
fp_281,0.0
fp_1016,0.0
fp_284,0.0
fp_321,0.0
fp_286,0.0
fp_287,0.0
fp_347,0.0
fp_346,0.0
fp_290,0.0
fp_343,0.0
fp_244,0.0
fp_291,0.0
fp_340,0.0
fp_7,0.0
fp_337,0.0
fp_1018,0.0
fp_335,0.0
fp_334,0.0
fp_1020,0.0
fp_330,0.0
fp_1021,0.0
fp_328,0.0
fp_363,0.0
fp_364,0.0
fp_365,0.0
fp_366,0.0
fp_402,0.0
fp_249,0.0
fp_398,0.0
fp_397,0.0
fp_1005,0.0
