idx,y_pred,y_true,residual
348,5.015741,5.000000,0.015741
349,5.836139,5.852175,-0.016036
350,5.521885,5.397940,0.123945
351,6.124474,6.139879,-0.015405
352,6.324757,6.273487,0.051270
353,6.474730,6.320624,0.154106
355,6.348884,6.337459,0.011425
356,6.178489,6.301030,-0.122541
357,6.168178,6.397940,-0.229762
359,6.889209,8.146128,-1.256919
360,5.717603,4.582063,1.135540
361,6.448082,6.272306,0.175776
362,6.888733,5.728256,1.160477
364,5.407613,6.049218,-0.641605
366,6.316520,5.550228,0.766292
367,5.577641,5.575072,0.002569
368,6.007744,6.100026,-0.092282
369,5.892913,4.860338,1.032575
370,7.351082,6.489958,0.861124
371,5.941140,6.397940,-0.456800
372,5.774383,6.356026,-0.581643
373,5.147440,4.705864,0.441576
374,5.492422,4.833147,0.659275
375,6.000144,6.182671,-0.182527
376,5.772203,6.262024,-0.489820
377,5.773078,6.408240,-0.635162
378,6.455305,6.591065,-0.135760
379,6.502740,5.876218,0.626522
381,5.637769,4.630123,1.007647
382,6.065554,6.591065,-0.525511
383,6.669037,5.978181,0.690856
384,6.329882,6.322219,0.007662
385,5.957059,6.100026,-0.142967
386,6.373609,5.675778,0.697830
387,6.442418,6.000000,0.442418
388,5.888125,6.431364,-0.543238
389,6.647216,6.152594,0.494622
390,6.451990,6.732394,-0.280404
391,5.372658,4.491362,0.881297
392,5.114661,4.779019,0.335642
393,6.519491,6.556303,-0.036812
395,6.332518,6.278754,0.053764
396,6.328430,6.462398,-0.133968
397,6.088026,6.399154,-0.311129
398,5.786925,6.397940,-0.611015
399,5.810647,5.880814,-0.070167
400,5.884326,5.892095,-0.007769
401,5.746922,5.716003,0.030919
402,5.599847,6.696837,-1.096990
403,5.222318,5.530481,-0.308164
404,5.948679,6.465829,-0.517149
406,6.386215,6.919078,-0.532863
407,6.042725,6.301030,-0.258305
408,6.276033,6.380211,-0.104179
409,6.270135,6.204120,0.066015
410,6.399690,6.301030,0.098660
411,5.647559,6.073106,-0.425547
412,5.157819,6.255273,-1.097454
413,6.244725,6.322219,-0.077494
414,5.766369,5.866287,-0.099919
415,6.042408,6.318063,-0.275655
416,6.042250,6.368101,-0.325851
417,5.873255,6.378398,-0.505143
418,5.254668,6.326131,-1.071463
419,5.533362,4.354108,1.179254
420,5.547903,6.396722,-0.848819
421,5.589606,5.619093,-0.029487
422,4.080498,3.698970,0.381528
423,5.716663,5.766785,-0.050122
424,6.149278,6.474755,-0.325477
425,5.593409,5.643453,-0.050044
426,5.670958,6.453318,-0.782361
427,5.190181,4.764176,0.426005
428,5.726733,6.227115,-0.500382
429,5.631751,6.039255,-0.407505
430,5.855550,6.079181,-0.223632
431,6.021203,6.387212,-0.366009
432,6.046823,5.575072,0.471751
433,5.966224,6.539076,-0.572852
434,5.616564,6.008600,-0.392036
435,6.154220,6.113943,0.040276
436,6.272907,6.222456,0.050451
437,6.158862,5.276462,0.882400
438,6.369814,6.301030,0.068784
439,6.245633,5.275104,0.970529
440,5.517842,6.884795,-1.366953
441,6.919550,6.849419,0.070131
442,6.708307,6.797960,-0.089653
443,6.500300,7.505150,-1.004850
444,6.665749,6.517724,0.148025
445,6.363007,6.634981,-0.271974
446,6.496589,6.645275,-0.148686
447,5.168912,6.270679,-1.101766
448,6.526795,6.024896,0.501899
449,6.124624,7.385606,-1.260982
450,6.707039,6.284453,0.422586
451,6.580218,6.501059,0.079158
452,6.346207,6.501059,-0.154852
453,6.495479,6.716003,-0.220524
454,6.503244,6.397940,0.105304
455,6.689498,6.271656,0.417843
456,5.959942,6.269513,-0.309571
457,6.318491,6.322219,-0.003729
458,6.362603,5.337459,1.025144
459,6.427784,6.755875,-0.328091
460,6.427626,6.596047,-0.168421
461,6.286546,6.372912,-0.086366
462,6.318239,4.484300,1.833939
463,6.466370,6.227887,0.238483
464,5.440273,6.477121,-1.036848
465,5.737601,6.079181,-0.341580
466,6.275257,6.397940,-0.122683
467,5.477330,4.742725,0.734605
