n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,R2_train,R2_valid
600,20,16,2,0.1,0.6985834021751287,0.4263624339783201
600,20,16,2,0.2,0.7135185974248327,0.4293202253097105
600,20,16,4,0.1,0.6604976465202511,0.4286695923374072
600,20,16,4,0.2,0.6800045788388938,0.4349679059391336
600,25,12,2,0.1,0.7326829308218072,0.42816033282876764
600,25,12,2,0.2,0.7485930314993821,0.4323509170753962
600,25,12,4,0.1,0.6852718946676294,0.43087228032373404
600,25,12,4,0.2,0.7075320280266232,0.43906440465454943
600,25,16,2,0.1,0.7146676685933866,0.4317551653827476
600,25,16,2,0.2,0.7296033131862754,0.4333211026938235
600,25,16,4,0.1,0.6706551302988594,0.4293831186403041
600,25,16,4,0.2,0.6906284057677665,0.43490969147731107
